Game,"Skin Name","Withdraw Price"
CS2,"★ Falchion Knife | Doppler Black Pearl (Factory New)",998.84
CS2,"StatTrak™ AK-47 | Case Hardened (Factory New)",998.38
CS2,"StatTrak™ AWP | Lightning Strike (Factory New)",996.53
CS2,"★ StatTrak™ Butterfly Knife | Autotronic (Field-Tested)",992.68
CS2,"★ Nomad Knife | Doppler Sapphire (Factory New)",991.45
CS2,"★ Butterfly Knife | Black Laminate (Factory New)",986.06
CS2,"★ StatTrak™ Talon Knife | Doppler Phase 4 (Factory New)",985.29
CS2,"★ Talon Knife | Fade (Minimal Wear)",985.21
CS2,"★ Flip Knife | Doppler Sapphire (Factory New)",985.21
CS2,"★ Skeleton Knife | Doppler Phase 2 (Factory New)",985.05
CS2,"Souvenir M4A1-S | Welcome to the Jungle (Field-Tested)",984.67
CS2,"★ StatTrak™ Falchion Knife | Doppler Ruby (Factory New)",984.52
CS2,"★ StatTrak™ Skeleton Knife | Doppler Phase 2 (Factory New)",980.05
CS2,"★ Butterfly Knife | Damascus Steel (Factory New)",969.89
CS2,"★ Karambit | Slaughter (Field-Tested)",969.89
CS2,"Desert Eagle | Blaze (Minimal Wear)",969.51
CS2,"★ StatTrak™ Talon Knife | Doppler (Factory New)",968.04
CS2,"★ Butterfly Knife | Blue Steel (Minimal Wear)",967.86
CS2,"★ Sport Gloves | Big Game (Factory New)",967.74
CS2,"★ Karambit | Case Hardened (Minimal Wear)",962.19
CS2,"★ Talon Knife | Case Hardened (Factory New)",959.65
CS2,"M4A1-S | Blue Phosphor (Minimal Wear)",958.68
CS2,"★ M9 Bayonet | Slaughter (Factory New)",957.41
CS2,"★ Butterfly Knife | Case Hardened (Minimal Wear)",954.5
CS2,"★ M9 Bayonet | Lore (Minimal Wear)",954.34
CS2,"AK-47 | X-Ray (Field-Tested)",953.96
CS2,"AK-47 | Hydroponic (Battle-Scarred)",953.73
CS2,"★ Specialist Gloves | Blackbook (Minimal Wear)",1007.41
CS2,"Desert Eagle | Emerald Jörmungandr (Factory New)",952.58
CS2,"★ Moto Gloves | Smoke Out (Factory New)",948.1
CS2,"Negev | Anodized Navy (Minimal Wear)",947.21
CS2,"★ Karambit | Autotronic (Well-Worn)",938.87
CS2,"★ StatTrak™ Karambit | Case Hardened (Field-Tested)",937.8
CS2,"★ StatTrak™ M9 Bayonet | Lore (Minimal Wear)",936.03
CS2,"★ StatTrak™ M9 Bayonet | Slaughter (Field-Tested)",933.72
CS2,"★ Talon Knife | Doppler Phase 4 (Factory New)",931.41
CS2,"★ Karambit | Lore (Minimal Wear)",930.95
CS2,"★ M9 Bayonet | Crimson Web (Minimal Wear)",926.48
CS2,"★ M9 Bayonet | Autotronic (Minimal Wear)",923.48
CS2,"★ Karambit | Blue Steel (Minimal Wear)",921.86
CS2,"★ StatTrak™ Butterfly Knife | Blue Steel (Field-Tested)",920.48
CS2,"★ Butterfly Knife | Autotronic (Well-Worn)",916.94
CS2,"AK-47 | Panthera onca (Factory New)",915.24
CS2,"AWP | Silk Tiger (Factory New)",914.47
CS2,"★ Butterfly Knife | Blue Steel (Field-Tested)",913.88
CS2,"★ Ursus Knife | Doppler Black Pearl (Factory New)",912.15
CS2,"★ Talon Knife | Doppler Phase 3 (Factory New)",908.31
CS2,"StatTrak™ AK-47 | Vulcan (Minimal Wear)",908.31
CS2,"★ Sport Gloves | Occult (Field-Tested)",960.21
CS2,"★ StatTrak™ M9 Bayonet | Marble Fade (Factory New)",908.31
CS2,"★ Butterfly Knife | Ultraviolet (Minimal Wear)",908.23
CS2,"★ M9 Bayonet | Blue Steel (Factory New)",906.47
